서비스아이디,서비스명,서비스URL,서비스요약,사이트,대표문의,소관부처명,소관조직명,기준년도,최종수정일
17150,고용보험 미적용자 출산급여 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=17150,소득활동을 하고 있으나 고용보험의 '출산전후휴가급여'를 지원받지 못하는 출산여성에게 출산급여를 지원합니다.,고용센터 www.ei.go.kr,고용노동부 고객상담센터 1350,고용노동부,여성고용정책과,2021,2021-06-14
123,고용복지플러스센터,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=123,국민들이 한 곳만 방문하면 다양한 고용과 복지 서비스 등을 받을 수 있도록 고용센터를 중심으로 고용 및 복지 서비스 기관이 한 공간에서 서비스를 제공합니다.,고용복지플러스센터 www.workplus.go.kr,고용복지플러스센터 ,고용노동부,고용서비스정책과,2021,2021-06-08
13463,고위험 임산부 의료비 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=13463,"고위험 임신의 치료와 관리에 필요한 진료비를 지원하여 경제적 부담을 줄이고, 건강한 출산을 보장합니다.",보건복지부 콜센터 http://www.129.go.kr,보건복지부 콜센터 129,보건복지부,출산정책과,2021,2021-04-09
246,고혈압·당뇨병 등록관리사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=246,"심뇌혈관 질환의 발생 및 재발을 감소시키고, 심뇌혈관질환으로 인한 사망 및 장애를 감소하고자 합니다.",G-Health http://www.g-health.kr/ 보건복지부 콜센터 http://www.129.go.kr,질병관리청 1339,질병관리청,만성질환예방과,2021,2021-06-08
219,공공(임대)주택신재생에너지지원(구 보금자리주택신재생보급),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=219,공공(임대)주택에 신재생 에너지 설비 설치를 지원하여 에너지 소외계층에 대한 에너지 복지를 실현합니다.,에너지관리공단 신재생에너지 통합콜센터 http://greenhome.kemco.or.kr 한국토지주택공사 주택기술처 http://www.lh.or.kr/,에너지관리공단 신재생 에너지 통합콜센터 1855-3020,산업통상자원부,재생에너지산업과,2021,2021-05-27
201,공공산림가꾸기,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=201,"청년 실업자나 장년층 퇴직자 등을 산림사업에 투입하여 일자리를 창출하고, 산물수집을 확대하여 산림자원의 활용을 높입니다.",일자리사업통합정보시스템(일모아) http://www.ilmoa.go.kr 산림청 http://www.forest.go.kr/,산림청 대표전화 1588-3249,산림청,산림자원과,2021,2021-02-25
147,공공주택 공급(공공분양 및 공공임대),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=147,저소득층의 주거안정과 무주택자에게 내 집 마련의 기회를 제공합니다.,한국토지주택공사 http://www.lh.or.kr/ SH공사 홈페이지 http://www.i-sh.co.kr 경기도시공사 www.gico.or.kr/,LH콜센터 1600-1004,국토교통부,공공주택총괄과,2020,2020-04-17
65,공동육아나눔터 운영,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=65,이웃 간의 자녀돌봄 품앗이를 구성하여 핵가족화로 인한 육아부담을 경감시키고 지역중심의 자녀양육환경을 조성합니다.,,공동육아나눔터 1577-9337,여성가족부,가족정책과,2020,2020-03-30
281,교육급여(맞춤형 급여),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=281,"수급자에게 적정한 교육기회를 제공하여 자립할 수 있는 능력을 배양하고,가난의 대물림을 차단합니다.",복지로 http://www.bokjiro.go.kr 보건복지부 http://www.mohw.go.kr,보건복지상담센터 129,교육부,교육복지정책과,2021,2021-06-09
20,교육복지 우선지원 사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=20,취약계층 학생이 밀집한 학교를 선정하여 집중 지원함으로써 교육·문화·복지 수준을 높이고 교육격차를 해소합니다.,교육부 교육복지정책과 http://www.moe.go.kr,교육부 교육복지정책과 044-203-6097,교육부,교육복지정책과,2021,2021-05-11
3,"교통시설 이용지원(버스,내항여객선,KTX등)",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=3,"국가를 위해 희생하고 공헌한 애국지사, 국가유공상이자 등의 예우 및 복지향상을 위해 민영버스 및 내항여객선, 열차 등 교통시설의 무임 또는 할인을 지원합니다.",보훈상담센터 www.mpva.go.kr,보훈상담센터 1577-0606,국가보훈처,복지정책과,2021,2021-05-13
264,국가보훈대상자 보훈장학금,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=264,"학비가 면제되지 않는 대학원 재학 국가유공자, 5·18민주유공자, 특수임무유공자 본인 등에게 장학금 지원을 통해 학습 의욕을 높이고, 생계안정에 기여합니다.",국가보훈처 http://www.mpva.go.kr/,보훈상담센터 1577-0606,국가보훈처,생활안정과,2021,2021-04-09
131,국가보훈대상자 지원(수업료면제),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=131,국가유공자와 그 유족 또는 가족이 교육기관에서 필요한 교육을 통해 건전한 사회인으로 자립할 수 있도록 교육비를 지원합니다.,국가보훈처 상담센터 www.mpva.go.kr,국가보훈처 상담센터 1577-0606,국가보훈처,생활안정과,2021,2021-04-19
132,국가보훈대상자 취업능력개발지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=132,보훈대상자의 취업 경쟁력을 높이기 위해 수강료와 장려금을 지원해 드립니다.,국가보훈처 상담센터 www.mpva.go.kr,국가보훈처 상담센터 1577-0606,국가보훈처,생활안정과,2021,2021-05-24
263,국가보훈대상자 학습보조비 지급,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=263,학용품을 구입하는 등의 교육에 필요한 부수적인 교육비를 지원합니다.,국가보훈처 http://www.mpva.go.kr/,보훈상담센터 1577-0606,국가보훈처,생활안정과,2021,2021-04-08
278,국가유공자 등 LPG차량 세금인상분 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=278,"국가유공상이자 등이 보철용으로 사용하는 LPG차량에 대해,차량 유류비의 세금인상분을 지원합니다.",국가보훈처 http://www.mpva.go.kr/,보훈상담센터 1577-0606,국가보훈처,복지정책과,2021,2021-04-19
319,국가유공자 의료급여증 발급,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=319,저소득 국가유공자와 가족들의 의료비 부담 경감을 위해  국가유공자 의료급여증을 발급합니다.,국가보훈처 상담센터 www.mpva.go.kr,국가보훈처 상담센터 1577-0606,국가보훈처,보훈의료과,2021,2021-06-09
261,국가유공자 재가복지 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=261,국가유공자 등 보훈대상자의 안락하고 영예로운 노후 생활을 보장하기 위해  재가복지 서비스를 지원합니다.,국가보훈처 http://www.mpva.go.kr/ 이동보훈복지서비스 http://www.mpva.go.kr/bovis/index.asp,보훈상담센터 1577-0606,국가보훈처,복지운영과,2021,2021-05-24
267,국가유공자등간호수당,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=267,국가유공자의 생활 안정과 복지 향상을 위하여 간호수당을 지원합니다.,국가보훈처 http://www.mpva.go.kr/,보훈상담센터 1577-0606,국가보훈처,보상정책과,2021,2021-05-16
133,국가유공자등대부지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=133,국가유공자의 생활 안정을 위해 금융기관에 대출업무를 위탁하여 대출을 받을 수 있도록 지원합니다.,국가보훈처 http://www.mpva.go.kr/ 국가보훈처 상담센터 www.mpva.go.kr,국가보훈처 상담센터 1577-0606,국가보훈처,생활안정과,2021,2021-04-27
273,국가유공자등생활조정수당,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=273,저소득 국가유공자와 그 유족의 생활안정 및 복지향상을 위해 생활조정수당을 지급합니다.,,보훈상담센터 1577-0606,국가보훈처,보상정책과,2021,2021-04-23
265,국가유공자등취업지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=265,국가유공자와 유가족이 능력과 적성에 맞는 일자리를 찾을 수 있도록 지원합니다.,국가보훈처 취업정보시스템 http://job.mpva.go.kr,보훈상담센터 1577-0606,국가보훈처,생활안정과,2020,2020-06-03
254,국가유공자보철구지급,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=254,국가유공 상이자에게 신체 기능 장애나 활동력이 상실된 부분을보충하거나 보완해 주는 보철구를 지급하여 생활의 편의를 돕습니다.,국가보훈처 http://www.mpva.go.kr/ 한국보훈복지의료공단 http://www.bohun.or.kr,보훈상담센터 1577-0606,국가보훈처,보훈의료과,2021,2021-05-13
198,"국가장학금(Ⅰ, Ⅱ유형)",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=198,고등교육(대학교)의 교육비 부담을 경감시키기 위해  등록금의 일부를 국가장학금으로 지원합니다.,한국장학재단 고객센터 www.kosaf.go.kr,한국장학재단 고객센터 1599-2000,교육부,대학재정장학과,2021,2021-04-06
191,국립특수학교 및 국립부설학교 특수학급 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=191,"국립특수학교(급)의 특수교육보조원, 돌봄교실 운영 및 특수교육대상자의 방과후학교 경비를 지원하여 장애학생의 학습권을 보장합니다.",교육부 특수교육정책과 http://www.moe.go.kr,교육부 특수교육정책과 044-203-6568,교육부,특수교육정책과,2021,2021-06-11
26,국민연금 출산크레딧,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=26,출산 친화 환경 조성 및 연금수급기회 확대를 위해 둘째 이상 자녀를 출산한 국민연금 가입자에게 추가 혜택을 드립니다.,국민연금공단 http://www.nps.or.kr,국민연금 상담센터 1355,보건복지부,국민연금정책과,2021,2021-04-29
230,국민임대주택공급,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=230,소득 4분위 이하 저소득계층의 주거안정을 위하여 저렴한 가격으로임대주택을 공급합니다.,한국토지주택공사 http://www.lh.or.kr/ 공공주택 http://portal.newplus.go.kr,LH콜센터 1600-1004,국토교통부,공공주택총괄과,2020,2020-03-10
17515,국민취업지원제도,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=17515,"저소득 구직자, 청년, 경력단절여성 등 취업 취약계층을 대상으로 「취업지원서비스」와 「생계지원」을 함께 제공",고용노동부 고객상담센터 http://www.moel.go.kr/,고용노동부 고객상담센터 1350,고용노동부,국민취업지원기획팀,2021,2021-03-26
27,권역재활병원 공공재활프로그램 운영지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=27,권역재활병원의 공공재활프로그램을 제공하여장애발생 후 보다 빠르게 사회복귀를 할 수 있도록 지원합니다.,,보건복지부 장애인정책과 044-202-3289,보건복지부,장애인정책과,2021,2021-05-04
296,그 밖의 연장형 보육료 등 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=296,어린이집을 이용하는 영유아에 대하여 보육료를 지원함으로써 부모의 자녀양육 부담을 덜고 원활한 경제활동을 돕습니다.,보건복지부 http://www.mohw.go.kr 아이사랑보육포털 http://www.childcare.go.kr 보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,보육기반과,2021,2021-06-21
253,근로·자녀장려금,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=253,소득이 적어 생활이 어려운 자영업자 또는 근로자 가구에 근로장려금과 자녀장려금을 지급하여 근로 의욕을 더하고 소득과 자녀양육비를 지원합니다.,국세청 근로장려세제 http://www.hometax.go.kr/,국세상담센터 126,기획재정부,소득세제과,2020,2020-04-17
196,급식비,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=196,저소득층자녀에게 급식비를 지원하여  학부모의 부담을 덜어주고 교육복지를 실현합니다.,복지로 http://www.bokjiro.go.kr,중앙상담센터 1544-9654,교육부,학생건강정책과,2021,2021-06-10
227,기존주택 전세임대주택 지원사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=227,도심 내 저소득층이 안정적으로 거주할 수 있도록 임대료가 저렴한 임대주택을 지원합니다.,한국토지주택공사 http://www.lh.or.kr/,LH 콜센터 1600-1004,국토교통부,공공주택지원과,2021,2021-06-08
226,기존주택등 매입임대주택 지원사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=226,저소득층 국민이 도심 내에 안정적으로 거주할 수 있도록 기존주택 등을 매입하여 저렴하게 공급합니다.,한국토지주택공사 http://www.lh.or.kr/,한국토지주택공사 1600-1004,국토교통부,공공주택지원과,2021,2021-05-26
350,기초연금,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=350,생활이 어려운 어르신에게 안정적인 소득기반을 제공하여 생활안정을 지원합니다.,보건복지부 콜센터 http://www.129.go.kr 국민연금공단 http://www.nps.or.kr,보건복지콜센터 129,보건복지부,기초연금과,2021,2021-06-08
240,기타재가급여(장기요양보험 복지용구),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=240,"수급자의 일상생활, 신체활동 지원에 필요한 용품을 지원하여보다 안락한 생활을 할 수 있도록 지원합니다.",보건복지부 콜센터 http://www.129.go.kr 국민건강보험공단 www.nhis.or.kr,보건복지상담센터 129,보건복지부,요양보험제도과,2021,2021-05-04
304,긴급복지 교육지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=304,생계곤란 등의 위기상황에 처하여 도움이 필요한 사람을 일시적으로 신속하게 지원하여 위기상황에서 벗어날 수 있도록 지원합니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,기초생활보장과,2021,2021-02-25
307,긴급복지 사회복지시설이용지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=307,위기 상황에 처한 자에게 사회복지시설 이용 서비스를 제공하여 위기 상황에서 벗어나건강하고 인간다운 생활을 영위할 수 있도록 합니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,기초생활보장과,2021,2021-06-10
303,긴급복지 생계지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=303,갑작스럽게 생계곤란 등 위기상황에 처하여 도움이 필요한 사람을 신속하게 지원하여 위기상황에서 벗어날 수 있도록 지원합니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,기초생활보장과,2021,2021-06-10
139,긴급복지 연료비 및 전기요금,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=139,생계곤란 등의 위기상황에 처하여 도움이 필요한 사람을 일시적으로 신속하게  지원하여 위기상황에서 벗어날 수 있도록 지원합니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,기초생활보장과,2021,2021-02-25
305,긴급복지 의료지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=305,수술이나 입원이 필요한 중한 질병 또는 부상으로 발생한 의료비를 감당하기 어려운 분에게 지원합니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,기초생활보장과,2021,2021-06-10
309,긴급복지 장제비지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=309,생계곤란 등의 위기상황에 처하여 도움이 필요한 사람을 일시적으로 신속하게 지원하여 위기상황에서 벗어날 수 있도록 지원합니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,기초생활보장과,2021,2021-06-10
306,긴급복지 주거지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=306,생계곤란 등의 위기상황에 처하여 도움이 필요한 경우 일시적으로 신속하게 지원함으로써 위기상황에서 벗어날 수 있도록 지원합니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,기초생활보장과,2021,2021-06-10
308,긴급복지 해산비지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=308,생계곤란 등의 위기상황에 처하여 도움이 필요한 사람을 일시적으로 신속하게 지원하여 위기상황에서 벗어날 수 있도록 지원합니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,기초생활보장과,2021,2021-06-10
326,난임부부 시술비 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=326,"체외수정시술, 인공수정시술 등을 받는 난임부부에게 시술비 일부를 지원하여 경제적 부담을 경감시키고 자녀를 갖을 수 있도록 지원합니다.",보건복지부 콜센터 http://www.129.go.kr 보건복지부 http://www.mohw.go.kr,보건복지콜센터 129,보건복지부,출산정책과,2021,2021-05-13
16,납북피해자 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16,전후 납북자 가족 및 귀환 납북자에 대한 주거 지원을 통해 납북으로 인한 고통 경감 및 권익향상을 위해 지원합니다.,통일부 이산가족과 http://www.unikorea.go.kr 한국토지주택공사 http://www.lh.or.kr/,통일부 이산가족과 02-2100-5917,통일부,이산가족과,2021,2021-06-09
121,내일이룸학교 운영,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=121,가출 등의 이유로 학업이 중단되어 경제적·사회적·심리적으로 도움이 필요한 청소년에게 맞춤형 훈련을 실시하여 건전한 자립을 돕습니다.,,한국생산성본부 02-398-7632,여성가족부,학교밖청소년지원과,2021,2021-05-31
223,내집마련 디딤돌 대출,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=223,무주택 세대주가 주택구입 자금을 빌릴 수 있도록 지원하여 주거 안정을 돕습니다.,주택도시기금 nhuf.milit.go.kr,주택도시기금 1566-9009,국토교통부,주택기금과,2021,2021-05-15
28,노숙인 등 복지지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=28,"노숙인의 권익을 보호하고, 원활한 사회복귀와 자립할 수 있는 힘을 길러주기 위하여 재활과 요양에 필요한 서비스를 지원합니다.",보건복지부 콜센터 http://www.129.go.kr,보건복지부 콜센터 129,보건복지부,자립지원과,2020,2020-05-04
251,노숙자 등 알코올중독자 사례관리 사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=251,알코올 사용장애가 있는 노숙인과 음주와 관련한 범죄자의 치료와 재활을 돕습니다.,G-Health http://www.g-health.kr/ 보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,정신건강관리과,2021,2021-06-16
16497,노인 무릎인공관절 수술 지원 사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16497,무릎관절수술 지원을 통해 노인 건강을 보장하고 의료비 부담을 경감합니다.,노인의료나눔재단 www.ok6959.or.kr,노인의료나눔재단 02-711-6599,보건복지부,치매정책과,2021,2021-04-27
